Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,221.000000,225.130005,218.350006,224.039993,220.788025,1537700
2018-11-02,226.669998,227.649994,220.449997,221.660004,218.442581,1808400
2018-11-05,222.100006,224.100006,221.580002,222.610001,219.378784,1257200
2018-11-06,222.539993,227.169998,221.919998,226.770004,223.478424,1252700
2018-11-07,228.369995,231.559998,225.169998,231.279999,227.922943,1289200
2018-11-08,230.350006,231.809998,227.850006,229.399994,226.070251,1039700
2018-11-09,229.000000,229.600006,222.660004,224.399994,221.142807,1695000
2018-11-12,224.589996,225.190002,218.770004,219.630005,216.442078,1577800
2018-11-13,220.789993,225.250000,220.039993,222.509995,219.280258,1086500
2018-11-14,224.539993,227.300003,222.990005,225.160004,221.891800,1380300
2018-11-15,223.229996,229.460007,221.979996,227.809998,224.503326,1285900
2018-11-16,226.880005,228.169998,224.589996,226.690002,223.399582,1240900
2018-11-19,226.460007,228.990005,224.690002,226.300003,223.015244,1106200
2018-11-20,222.720001,224.169998,220.020004,221.339996,218.127228,1620300
2018-11-21,222.350006,226.300003,222.350006,222.550003,219.319672,1019900
2018-11-23,221.419998,226.000000,220.559998,223.399994,220.157318,498200
2018-11-26,225.880005,226.119995,223.100006,225.039993,221.773514,1165700
2018-11-27,223.779999,225.850006,222.419998,225.229996,221.960770,1122000
2018-11-28,226.559998,231.850006,225.130005,231.850006,228.484680,1311500
2018-11-29,230.919998,231.500000,227.330002,227.500000,224.197815,1162900
2018-11-30,227.199997,229.570007,226.250000,229.000000,225.676056,1588900
2018-12-03,232.660004,234.490005,228.270004,230.039993,226.700928,1465900
2018-12-04,227.000000,227.550003,212.800003,215.520004,212.391724,3819600
2018-12-06,212.000000,215.309998,209.500000,215.059998,211.938370,2248100
2018-12-07,214.699997,217.449997,200.119995,201.389999,199.068481,3101100
2018-12-10,198.710007,198.729996,188.509995,192.929993,190.705994,5887300
2018-12-11,195.369995,196.500000,187.029999,189.649994,187.463806,4584600
2018-12-12,192.389999,193.119995,187.580002,188.270004,186.099731,3684700
2018-12-13,189.029999,189.449997,183.550003,187.179993,185.022263,4194800
2018-12-14,185.149994,188.750000,183.100006,184.110001,181.987671,2558200
2018-12-17,183.110001,186.169998,181.279999,182.190002,180.089813,3402000
2018-12-18,183.529999,186.139999,182.949997,185.009995,182.877304,4300800
2018-12-19,169.220001,171.630005,162.500000,162.509995,160.636658,15288500
2018-12-20,161.990005,164.990005,158.339996,159.720001,157.878830,6552700
2018-12-21,158.009995,159.789993,154.660004,158.000000,156.178650,6969400
2018-12-24,156.949997,157.729996,152.610001,152.699997,150.939743,2935200
2018-12-26,154.000000,160.149994,150.940002,160.149994,158.303864,3503100
2018-12-27,158.500000,161.020004,155.279999,161.020004,159.163864,2880200
2018-12-28,162.259995,163.789993,158.309998,158.979996,157.147339,2876700
2018-12-31,159.559998,161.649994,158.899994,161.330002,159.470261,2175300
2019-01-02,158.520004,163.380005,157.570007,163.190002,161.308823,2125700
2019-01-03,161.789993,163.070007,156.960007,157.190002,155.377991,3033300
2019-01-04,160.199997,164.979996,159.500000,164.429993,162.534531,2938600
2019-01-07,164.889999,166.850006,162.149994,166.729996,164.808014,2989400
2019-01-08,168.699997,169.419998,165.309998,167.020004,165.094696,2610700
2019-01-09,167.649994,171.220001,167.100006,170.589996,168.623520,2750900
2019-01-10,169.070007,170.619995,167.929993,170.119995,168.158936,1958500
2019-01-11,169.490005,171.139999,167.199997,170.990005,169.018921,2836400
2019-01-14,169.869995,173.100006,169.119995,171.550003,169.572464,2225000
2019-01-15,171.470001,172.649994,169.020004,170.630005,168.663071,2165400
2019-01-16,171.190002,174.229996,170.940002,171.360001,169.384644,2342800
2019-01-17,170.960007,175.000000,170.729996,173.270004,171.272629,1789700
2019-01-18,175.179993,179.190002,174.550003,176.910004,174.870682,3072100
2019-01-22,176.309998,176.720001,174.020004,175.899994,173.872299,2105900
2019-01-23,176.839996,177.080002,171.279999,173.679993,171.677887,1853100
2019-01-24,173.369995,174.279999,171.789993,174.100006,172.093063,1630100
2019-01-25,175.889999,177.559998,174.100006,175.360001,173.338531,1968600
2019-01-28,173.500000,174.330002,171.710007,173.960007,171.954681,1355500
2019-01-29,174.000000,174.300003,172.520004,173.580002,171.579056,1090200
2019-01-30,175.119995,178.229996,173.160004,177.470001,175.424210,1562700
2019-01-31,178.710007,178.710007,176.580002,177.570007,175.523071,1865100
2019-02-01,178.300003,180.119995,178.059998,179.309998,177.243011,1812500
2019-02-04,179.190002,182.740005,178.300003,182.729996,180.623566,1694700
2019-02-05,183.000000,184.320007,182.080002,183.729996,181.612045,1670800
2019-02-06,183.389999,185.029999,182.860001,183.809998,181.691116,1485300
2019-02-07,182.770004,183.440002,179.949997,181.369995,179.279251,1853700
2019-02-08,180.039993,180.179993,173.770004,177.240005,175.196869,2461400
2019-02-11,177.800003,181.240005,177.649994,181.089996,179.002487,1644700
2019-02-12,182.630005,186.229996,181.949997,185.449997,183.312225,1819500
2019-02-13,186.100006,187.039993,185.119995,185.619995,183.480270,1364400
2019-02-14,184.539993,185.220001,182.970001,183.919998,181.799850,1556900
2019-02-15,179.000000,179.500000,176.960007,179.300003,177.233124,4730700
2019-02-19,179.160004,181.800003,178.929993,180.250000,178.172165,1836400
2019-02-20,180.979996,183.020004,180.259995,181.910004,179.813049,1414700
2019-02-21,181.779999,183.460007,181.419998,182.279999,180.178757,1033800
2019-02-22,182.070007,182.279999,176.100006,180.490005,178.409409,2023300
2019-02-25,181.940002,183.649994,180.679993,181.070007,178.982727,1652900
2019-02-26,180.830002,183.960007,180.509995,181.710007,179.615341,1612600
2019-02-27,181.070007,182.240005,179.899994,181.809998,179.714188,966200
2019-02-28,181.460007,181.639999,180.210007,181.000000,178.913528,1260600
2019-03-01,182.020004,184.440002,182.000000,182.800003,180.692780,1473300
2019-03-04,184.070007,185.309998,179.899994,181.139999,179.051910,1694800
2019-03-05,180.440002,181.149994,178.550003,180.009995,177.934921,1474500
2019-03-06,180.589996,180.759995,177.350006,178.179993,176.126038,1441900
2019-03-07,176.199997,176.619995,172.080002,172.860001,170.867371,3743900
2019-03-08,169.850006,172.619995,167.610001,171.779999,170.440720,2059100
2019-03-11,172.089996,176.619995,171.860001,176.449997,175.074295,1683200
2019-03-12,177.000000,178.199997,175.570007,177.169998,175.788681,1506100
2019-03-13,178.279999,180.100006,177.449997,179.529999,178.130280,1222900
2019-03-14,179.240005,179.529999,177.500000,179.080002,177.683792,1217000
2019-03-15,179.479996,181.839996,177.589996,177.979996,176.592361,2481500
2019-03-18,178.130005,182.419998,178.130005,182.399994,180.977905,2230300
2019-03-19,183.820007,185.000000,180.679993,181.410004,179.995636,4277000
2019-03-20,172.750000,175.770004,169.660004,175.070007,173.705078,9287800
2019-03-21,174.449997,179.339996,172.490005,178.990005,177.594513,3156100
2019-03-22,177.550003,178.130005,173.839996,173.990005,172.633484,2439500
2019-03-25,173.919998,174.869995,171.369995,172.070007,170.728455,1851000
2019-03-26,173.250000,175.240005,172.470001,175.149994,173.784439,1430500
2019-03-27,175.119995,176.490005,174.589996,176.089996,174.717102,1571900
2019-03-28,174.850006,178.259995,174.850006,177.899994,176.512985,2031500
2019-03-29,179.020004,182.089996,178.910004,181.410004,179.995636,2171500
2019-04-01,182.270004,187.000000,182.220001,186.449997,184.996338,2340900
